Source,Destination,Redirect type,ModifiedDate
/docs/cards-guest-checkout-one-off-payment,docs/components-one-time-payment,endswith,27 Feb 2026,
/docs/cards-pay-and-save,docs/pay-and-save-3,endswith,27 Feb 2026,
/docs/cards-collecting-card-information,docs/components-overview,endswith,27 Feb 2026,
/docs/overvivew-payouts-coverage,docs/overview-payouts-coverage,endswith,19 Feb 2026,
/docs/payouts-coverage-overview,docs/overview-payouts-coverage,endswith,19 Feb 2026,
/docs/coverage-overview,docs/overview-payouts-coverage,endswith,19 Feb 2026,
/apidocs/update-customer-1,apidocs/update-customer,endswith,20 Jan 2026,
/docs/set-up-webhooks-1,docs/bill-payments-set-up-webhooks,endswith,05 Nov 2025,
/docs/business-documents,docs/verification-requirements,endswith,27 Oct 2025,
/docs/identity-documents,docs/authorized-representiative-details,endswith,24 Oct 2025,
/docs/xendit-group-prohibited-and-high-risk-industries-and-countries-1,docs/prohibited-and-high-risk-industries-and-countries,endswith,21 Oct 2025,
/docs/hong-kong,docs/hong-kong-business-documents,endswith,21 Oct 2025,
/docs/singapore-and-others,docs/singapore-and-others-business-documents,endswith,21 Oct 2025,
/docs/singapore-1,docs/singapore-and-others-business-documents,endswith,21 Oct 2025,
/docs/regional-api-verification-for-developers,docs/api-verification,endswith,13 Oct 2025,
/credit-cards/integrations/test-scenarios,/docs/cards-simulate-card-scenarios,endswith,16 Sep 2025,
/xenplatform,/docs/xenplatform-overview,endswith,16 Sep 2025,
/xenplatform/accept-payments,/docs/accepting-payments-for-sub-accounts,endswith,16 Sep 2025,
/xenplatform/account-holder,/docs/verify-sub-accounts,endswith,16 Sep 2025,
/xenplatform/account-reports,/docs/consolidated-reports,endswith,16 Sep 2025,
/xenplatform/accounts,/docs/sub-accounts,endswith,16 Sep 2025,
/xenplatform/accounts/managed,/docs/sub-accounts,endswith,16 Sep 2025,
/xenplatform/accounts/owned,/docs/sub-accounts,endswith,16 Sep 2025,
/xenplatform/overview,/docs/xenplatform-overview,endswith,16 Sep 2025,
/xenplatform/pay-out,/docs/payouts-for-sub-accounts,endswith,16 Sep 2025,
/xenplatform/split-payments,/docs/split-payments,endswith,16 Sep 2025,
/xenplatform/transfers,/docs/transfer-balances,endswith,16 Sep 2025,
/xenplatform/use-cases/payment-service-resellers,/docs/xenplatform-overview,endswith,16 Sep 2025,
/dashboard/invite-team-member/xenplatform,/docs/invite-team-members,endswith,16 Sep 2025,
/xenplatform/use-cases/point-of-sales,/docs/xenplatform-overview,endswith,16 Sep 2025,
/xenplatform/use-cases/saas,/docs/xenplatform-overview,endswith,16 Sep 2025,
/docs/payouts-coverage-thailand,docs/payout-coverage-thailand,endswith,11 Sep 2025,
/docs/payouts-thailand,docs/payout-coverage-thailand,endswith,11 Sep 2025,
/docs/thailand-1,docs/payout-coverage-thailand,endswith,11 Sep 2025,
/docs/payout-coverage-country-1,docs/payout-coverage-thailand,endswith,11 Sep 2025,
/docs/payouts-coverage-indonesia,docs/payout-coverage-indonesia,endswith,11 Sep 2025,
/docs/payouts-indonesia,docs/payout-coverage-indonesia,endswith,11 Sep 2025,
/docs/indonesia-1,docs/payout-coverage-indonesia,endswith,11 Sep 2025,
/payouts,https://docs.xendit.co/docs/payouts-via-api,endswith,11 Sep 2025,
/docs/payouts-singapore,docs/payouts-coverage-singapore,endswith,11 Sep 2025,
/docs/singapore,docs/payouts-coverage-singapore,endswith,11 Sep 2025,
/docs/payouts-vietnam,docs/payouts-coverage-vietnam,endswith,11 Sep 2025,
/docs/vietnam-1,docs/payouts-coverage-vietnam,endswith,11 Sep 2025,
